Character,Line
Joey," Whoa-whoa-whoa. Jokes? You guys know they have naked chicks in there,"
[Scene," Joey’s apartment, Joey is sitting at the counter as Chandler enters.]"
Chandler," Dude, you have got to turn on Behind the Music. The band Heart"
Joey, Let’s go watch it at your place.
Chandler," Nah, Monica’s watching some cooking show. Come on, I don’t"
Joey," Chandler, Chandler, y’know what we should do? You and I should go out"
Chandler," What? No, I want to watch this. (He turns on the television and the"
Joey," No, that’s VH-1. I gotta tell you, the music these kids listen"
Chandler," Joey, why is your cable out?"
Joey," I uh, oh! Because, uh, I haven’t really paid the bill"
Chandler," If you need money, will you please-please just let me loan you some"
Joey," No, Chandler. Look, forget about it, okay? Look, I know things have been a"
Chandler, Whoa ho.
Joey," I know! Yeah, but, look I can handle it. All right? Look, I can listen to"
Chandler," (picks up the phone) All right, you want to see if the joke stealer"
Joey, Sure.
Chandler," (with phone to ear, obviously hearing no dial tone) Paid your phone"
Joey, Not so much.
[Scene," Monica and Chandler's, Monica and Rachel are on the couch looking at the Playboy"
Phoebe, (entering) Hey.
Monica, (relieved) It’s only you.
Phoebe, Wh-wh-what are you doing?
Rachel, We are looking at a Playboy.
Phoebe," Oh, I want to look too! (She runs over and sits down and checks out a"
Monica," So do you think that these pictures—Are, are they trying to tell a"
Rachel," Oh, yeah, sure. I mean, like in the case of this young woman, she has"
Monica," Well, she’s not going to find them lying in the grass like that."
Phoebe," Oh, yeah. Aw, remember the days when you used to go out to the barn,"
Rachel and Monica, Yeah.
Rachel," You see, now, I would date this girl. She’s cute, she’s"
Monica," Okay, I’ve got a question. If you had to pick one of us to date,"
Rachel, (thinks) I don’t know.
Monica, Me neither.
Phoebe, Rachel.
Monica, What?!
Phoebe, I don’t know. (Pause) Me neither.
[Scene," Central Perk, Joey, Chandler, and Ross are sitting on the couch.]"
Joey, You forget how many great songs Heart had.
Chandler, Yeah.
Ross," You know, Barracuda was the first song I learned to play on the keyboard."
Chandler," So, you heard it, you repeated it, so that must mean you wrote it."
Joey," Oh, you guys, with this joke. I gotta say, I know I cracked up, but"
Ross," What, you didn’t get it? The doctor is a monkey."
Chandler, And monkeys can’t write out prescriptions.
Chandler," (stops laughing, to Ross) You are not allowed to laugh at my joke."
Ross," Your joke? Well, I think ‘the Hef’ would disagree, which is why"
Chandler," So, you stole my joke, and you stole my money."
Ross," Well, I was going to stick it in the ATM, but now I think I’ll show"
Chandler," Well, she is going to know that you stole the joke."
Ross," Oh, what are you going to do, follow me down there?"
Chandler, Yeah!
Ross," Well, I’m not going to go now anyway (he goes to sit down)."
Chandler, Okay (he goes to sit down).
Gunther, (handing Joey the bill) Here you go.
Joey," Ah, Gunther, I can’t pay for this right now because I’m not"
Gunther," Well, if you want, you can work here."
Joey," Uh, I don’t know. Ya see, it’s just, see I was a regular on a"
Gunther," Okay, but the money’s good, plus you get to stare at Rachel as"
Joey, What?!
Gunther, Flexible hours.
Joey, Maybe I could be a waiter. Could I use the phone?
[Scene," Monica and Chandler’s bedroom, they are in bed together.]"
Monica," (visibly upset) She picked Rachel. I mean, she tried to back out of it,"
Chandler," (visibly upset) He took my joke, he took it. "
Monica, It’s wrong. You know what else is wrong? Phoebe picking Rachel.
Chandler," You know who else picked Rachel? Ross, and you know what else Ross"
Monica, That’s a good idea. 
Chandler, Yeah!
Monica, Do you know what’s a bad idea?
Chandler, Picking Rachel.
Monica, That’s right. (A noise comes from the living room.) Did you hear
Chandler, Maybe it’s the sound of Ross climbing into my brain and stealing
Monica, It’s coming from the living room.
Joey, (sheepishly) I finished my book. (Chandler and Monica slowly retreat back
Monica," (entering) Hey, you guys."
Phoebe and Rachel, Hey.
Monica," (laughing) Oh, don’t you guys look cute. You guys make"
Rachel," Monica, what are you doing?"
Monica," (laughing harder) Nothing, I’m just trying to recreate"
Phoebe, I guess it was kinda funny.
Monica, (angrily) It wasn’t funny at all! Why would you do that?
Phoebe, Fine. The reason that I was leaning a little bit more toward Rachel than
Monica," That is completely untrue. You think I’m high maintenance? Okay,"
Phoebe," No, okay, you’re right. You’re easy-going. You’re just"
Rachel," (To Monica) Well, people are different."
Phoebe," Ya, you know, Rachel … she’ll do whatever you want."
Rachel," What? Wait a minute. What are you saying, that I’m a pushover?"
Phoebe," Oh, okay, (laughing) you’re not a pushover."
Rachel," Oh my … you think I’m a pushover. Well wait, watch this, you"
Monica, (to Phoebe) You start working on that list. (She grabs her
Rachel, I cannot believe her.
Monica, I know. Where do you wanna go eat?
Rachel," Oh, oh, I love that Japanese place."
Monica, I’m sick of Japanese. We’re not going there.
Rachel," All right, wherever you wanna go is cool."
Monica, All right.
[Scene," Central Perk, Monica, Rachel, and Chandler are there as Ross enters and sees"
Ross," (showing the Playboy magazine to Gunther) Oh, hey, Gunther, check this"
Gunther," Yeah, that-that Chandler cracks me up. "
Joey," Hey Ross, listen, you want anything to drink, ‘cause I’m heading"
Ross," Uh, yeah, I’ll take a coffee. Thanks, man."
Joey, Sure. (To Monica and Rachel) Coffee? ‘Cause I’m going up there. 
Rachel, No.
Monica," No, thank you."
Joey," (to a table of strangers) You guys need anything, ‘cause I’m"
Woman, I’d love an ice water.
Joey, You got it.
Monica," Joey, what are you doing?"
Joey, Just being friendly. (He gives Monica a ‘what’s wrong with
Rachel," Joey, honey, I don’t think you’re supposed to go back there."
Joey," Nah, it’s okay. Right, Gunther? (Winks at him as if they’re in"
Gunther, Don’t wink at me. And put on your apron.
Joey," Okay, but I don’t see you asking any other paying customers to put on"
Monica," Joey, do you work here?"
Joey, No.
Customer," Hey, waiter."
Joey, Yeah?
[Scene," Central Perk, continued from earlier.]"
Monica," Joey, what’s going on. What didn’t you tell us you work here?"
Joey," It’s kind of embarrassing, y’know. I mean, I was an actor and"
Chandler, So is your apron. You’re wearing it like a cape.
Joey," I mean, the job’s easy and the money’s good, you know? I guess"
Rachel," Come on, Joey, I did it and it was fine."
Ross," Yeah, why would it be weird? Hey, Joey, can I get some coffee?"
Joey," Okay, I guess it doesn’t seem that weird."
Ross," Seriously, I-I asked you before and you still haven’t gotten it."
Joey," See, now it’s weird again."
Chandler, I think it’s great that you work here. You’re going to make
"a lot of money, and here’s your first tip"," Don’t eat yellow snow. (He laughs,"
"then picks up a pen, glares at Ross, and writes in his journal). Ah ha ha, 2","15,"
Rachel," Well, you know what? This is great. Finally, I have someone I can pass"
Joey," Thanks, Rach. Look, you guys are just terrific. Y’know? Now, how"
Ross," Joey, seriously, can I get my coffee?"
Joey," Oh, I’m sorry, Ross. I’ll get it for you right now. And since I"
[Scene," Phoebe and Rachel’s, Phoebe is sitting on the couch as Rachel and Monica"
Rachel, Phoebe. We would like to talk to you for a second.
Phoebe, Okay.
Monica," So, maybe I am a little high maintenance. And maybe Rachel is a little"
Rachel," Yes, we are very sorry to tell you this, but you, Phoebe, are flaky."
Monica, Hah!
Phoebe," That true, I am flaky."
Rachel," So, what, you’re just, you’re just okay with being flaky?"
Phoebe," Yeah, totally."
Monica," Well, then, I’m okay with being high maintenance."
Rachel," Yeah, and I am okay with being a pushover."
Phoebe, That’s great. Good for you guys.
Monica, I am not high maintenance!
Rachel, I am not a pushover!
Phoebe, Who said you were?
Monica and Rachel, You did!
Phoebe," Oh, I’m flaky. I’ll say anything."
[Scene," Central Perk, Joey is coming back from using the phone.]"
Joey," Hey, Gunther. Can you uh, can you cover for me? I just got an audition."
Gunther," No, I’m leaving to get my hair dyed."
Joey," Really?! I like your natural color. Come on man, it’s a great part."
Gunther, That’s the whole part?
Joey," Okay, maybe he’s not his best friend, but …"
Gunther," Okay, I’ll see you in an hour."
Joey," Oh, man, I could totally get that part. ‘I’m sorry, that seat is"
Patron," Oh, excuse me."
Joey," No, no, I didn’t mean you. But, you believed me, huh?"
Patron, I believed you were saving this seat for someone.
Joey," So, you’d hire me, right?"
Patron, For what?
Joey," Exactly! All right, everybody, listen up. The coffeehouse is going to be"
Customers, Huh? What?
Joey," Yeah, it’s for the kids. To keep the kids off drugs. It’s a very"
[Scene," Monica and Chandler's, Chandler and Ross are both pouting and sitting on the"
Ross, It’s my joke.
Chandler, It’s my joke.
Ross and Chandler, It’s my joke.
Ross," Y’know, I don’t think we’re going to settle this."
Chandler, Let’s have Monica decide.
Ross, Yeah!
Chandler, Yeah!
Ross, Hey Mon.
Chandler," Mon, get out here!"
Ross," Monica! (She appears, not sure why she was summoned.)"
Chandler," Okay, okay. You have to help us decide whose joke this is."
Monica, Why do I have to decide?
Chandler, Because you’re the only one that can be fair.
Ross, Yeah.
Monica, I can’t be fair. You’re my boyfriend.
Ross," Yeah, but I’m your brother. We’re family. That’s the most"
Chandler, (to Ross) Don’t try to sway her. (To Monica) (Softly) I’m
Ross, We’ll each tell you how we came up with the joke and then you decide
Monica," Okay, Chandler, you go first."
Chandler," Okay, I thought of the joke two months ago at lunch with Steve."
Monica," Oh, wait, is he the guy I met at Christmas?"
Chandler, Can I finish my story?!
Monica, Do you want me to pick you?!
Ross," See, I would never snap at you like that."
Monica, Continue.
Chandler, So Steve said he had to go to the doctor. And Steve’s
Ross," Are you kidding? Okay, look. I-I studied evolution. Remember, evolution?"
Chandler, I’m not arguing with that.
Monica," All right, I’ve heard enough. I’ve made my decision."
Monica," You are both idiots. The joke is not funny, and it’s offensive to"
Ross, It’s your joke.
Chandler, Is not.
[Scene," Central Perk, Rachel is sitting at a table and Phoebe is on the couch. Chandler"
Monica," Hi, Chandler. There you are."
Chandler," Hi, oh hi."
Monica," Hey, it’s Phoebe and Rachel. Um, why don’t you tell them what"
Chandler," (starts to recite a rehearsed speech) Monica is a self-sufficient,"
Rachel," Wow, you know what? That is the best fake speech I think I’ve ever"
Phoebe, Really? I’ve heard better.
Monica," Wait, wait, he came up with that himself. Tell them, Chandler."
Chandler, (To Chandler) I’m out of words. Should I just say the whole thing
Monica," Look, I am not high maintenance. I am not. Chandler!"
Chandler, (pauses as he struggles with what he has to say) You’re a little
Monica, Ahhh! You are on my list.
Chandler," I’m sorry. You’re not easy-going, but you’re"
Monica, (embarrassed) (To Phoebe and Rachel) I didn’t even tell him to say
Chandler, (happily) I’m off the list. (Sits on the couch.) 
Monica," (sits next to him) Phoebe, it’s okay that you don’t want me to"
Phoebe," (to Monica) Y’know, suddenly I find you very attractive."
Chandler," Hey, buddy boy, how’d the audition go?"
Joey," Not good, no. I didn’t get the part, and I lost my job here, so"
Phoebe, Wow! That is a bad audition.
Rachel, How-how did you lose your job here?
Joey," Well, I had the audition but Gunther said I had to stay here and be in"
Rachel, He left work in the middle of the day to do a personal errand and left
Joey," Yeah, what are ya gonna do?"
Rachel," Joey, you can’t let him get away with that. Ya know what, I’m"
Gunther, Okay.
Rachel, What?
Gunther, He can have his job back.
Rachel," That’s right, he can have his job back. I’m glad we got that"
Joey, That’s great. Thanks Rach.
Rachel," Yeah, pretty nice, huh? Now who’s a pushover?"
Phoebe," (returning from the bathroom) Rach, you’re in my seat."
Rachel," Oh, I’m sorry. (Gets up and moves.)"
[Scene," Monica and Chandler's, Monica, Phoebe, and Rachel are sitting at the kitchen"
Phoebe," Hey, I never got to hear who you guys would pick to be your girlfriend."
Monica," I pick you, Phoebe."
Rachel," Oh, yeah. Definitely you, Pheebs."
Phoebe," Yeah, well, I kinda thought."
Chandler, Hey.
Rachel," Hey. Oh, I have a question. If-if-if one of you had to pick one of the"
Ross, No way. 
Joey, I’m not answering that.
Chandler, Joey! (Pause as they all stare at him.) No way. I’m not answering
Teleplay by, Sherry Bilsing & Ellen Plummer
Story by, Seth Kurland
Transcribed by, Eric Aasen
[Scene," Central Perk, Joey is giving Rachel, Chandler, Phoebe, and Ross their bills.]"
Joey," Okay Rach, that muffin and espresso, $4.50. Ross, double latte, $2.75."
Chandler, This coming from the man who couldn’t split our 80 dollar phone
Woman, Hi!
Joey, Hi!
Woman, How much do I owe you for the muffin and the latte?
Joey, Oh that’s on the house courtesy of Joey Tribbiani.
Woman," Oh great! Well, tell him thanks. And since uh, Joey seems like such a"
Joey," Well, he’s not used to women being so forward with him; but uh, I"
Ross," Hey Joey, how come our stuff isn’t free?"
Joey, It will be when you look like that in a tight skirt! This is great!
Rachel," Wait a minute, you’re only giving free stuff away to the pretty"
Phoebe, Yeah Joey that is so gross!
Joey, How about a scone on the house baby?
Phoebe, (giggles) I’m pretty.
[Scene," Monica and Chandler's, everyone but Monica is there playing Monopoly.]"
Ross, Hey does anyone have any gum?
Phoebe, Oh I do! (She grabs her huge purse and starts rummaging through it and
Ross, Y’know what? I’m good! I’m good!
Monica, (entering) Hey!
Ross, Hey!
Chandler," Hey, what are you doing here? Shouldn’t you be at work?"
Monica," (congested) Ugh, they sent me home. They said I can’t work if"
All, Ohh!
Chandler, I’m so sorry you’re sick.
Monica, I’m not sick!! I don’t get sick! Getting sick is for weaklings
Rachel," Honey, no one thinks you’re a pansy, but we do think you need a"
Monica, (wiping her nose) I have not been sick in over three years! (Sneezes.) 
Chandler, I’m gonna grab you some tissue.
Monica, I don’t need a tissue! I’m fine-d! 
Ross, When you put a ‘D’ at the end of ‘Fine’ you’re
Monica," I’m fine-d. I’m fine-d! Y’know, it’s a really hard"
Chandler, Yes?
Woman," Hi, is Rachel here? I’m her sister."
Rachel," Oh my God, Jill!"
Jill," Oh my God, Rachel!"
Chandler," Oh my God, introduce us!"
Rachel, This is Chandler. (Points at him.)
Jill, Hi!
Rachel, And you know Monica and Ross!
Ross, Hi Jill.
Rachel," And that’s Phoebe (points), and that’s Joey."
Joey," Hey, (in the Joey voice) how you doin’?"
Rachel," Don’t!! (Joey backs away frightened.) (To Jill) Honey, what are you"
Phoebe, (To Ross) Which-which sister is this? Is this the spoiled one or
Jill, (To Rachel) Daddy cut me off.
Phoebe," Never mind, I got it."
Jill," And y’know what I said to him? ""I’m gonna hire a lawyer and"
Rachel, Wow! What did he say?
Jill, That he wouldn’t pay for my lawyer! Then he told me to come here and
Rachel, Oh! Did you hear that?! My dad’s proud of me! My dad’s proud
Monica, Rach? (Points to Jill.)
Rachel," Oh yeah, sorry. Wait honey, so what did you do that made dad cut you"
Jill," Okay, I bought a boat."
Monica, You bought a boat?
Jill," Yeah but it wasn’t for me, it was for a friend."
Chandler, Boy did we make friends with the wrong sister! (Rachel glares
Rachel," Jill, honey, I think this is the best thing that could’ve ever"
Phoebe," Of course, yeah!"
Jill," Oh, that’s so great! Okay, I’m really gonna do this! I"
Phoebe," Ooh, I like cards."
[Scene," Central Perk, Joey is working as Phoebe and Ross are sitting on the couch.]"
Joey, (to a customer) Are you all finished here?
Customer, Yes.
Joey, Great! (Joey takes his cookie and finishes it.)
Gunther," Okay, here are the tips for this morning. Jen gets 50, 50 for me, and"
Joey, What?!
Gunther, For all the free food you gave away.
Joey," Well if it’s free food, how come you’re charging me for it?"
Gunther, We don’t give anything away unless it’s someone’s
Joey," Well, what if they came in third in a modeling contest?"
Gunther, No!
Joey, (to a woman who came in third in a modeling contest) Sorry! (He grabs her
Jill," (entering, carrying a bunch of shopping bags) I just had the hardest day."
Ross," Jill, how did you pay for all this? I thought your dad took away your"
Jill," Oh please, I memorized those numbers when I was 15. But look at all the"
Ross, I don’t think charging new clothes too your dad qualifies as making
Jill," Oh, Mr. Scientist has to get all technical!"
Phoebe," Seriously, I don’t Rachel’s gonna think it’s a good idea."
Jill, So who made her queen of the world?
Phoebe, I would love that job!
Rachel, (entering) Hey! What’s goin’ on?
Jill, Hey!
Rachel, (notices Jill’s bags) Jill! Did you shop?!
Jill, No! They did! (Points to Phoebe and Ross)
Phoebe and Ross," Yeah, we went shopping!"
Rachel," You went shopping?! What, and then you just came in here and paraded it"
Phoebe, Sorry Jill.
Ross, Sorry-sorry Jill.
Rachel, What’d you get?
Phoebe," Oh well, all right, I got (Ross hands her a bag) (To Ross) thank you, I"
Rachel, Oh.
Phoebe," And, and then I got uh, these are apartment pants."
Rachel, Apartment pants?
Phoebe," Yeah, you never heard of them?"
Rachel," No, of course, of course I’ve heard of them! Ross, what did you"
Ross," Huh? Oh, I got this—(Holds up this pink frilly thing)—this!"
Rachel, A pajmena?
Ross," Yeah! Oh, I-I love this babies!"
Rachel, Really?
Ross," Ross, wants a pajmena?"
Ross, It’s a rug. (Jill winces.)
Rachel, Jill?
Jill," (covers her eyes and starts crying) I’m sorry Rachel, I’m"
Rachel," Oh, come on! You think that’s gonna work on me?! I invented that!"
Jill," Right! But, I am sorry."
Rachel," All right, it’s okay. One little setback is okay, just don’t"
Jill, She took all my stuff.
Ross," Yeah. Everything but, the little blue one. (Holds it up for her.)"
Jill," (gasps) That’s the best one! Oh my God, (hugs him) thank you so much!"
Ross, Well. Hey…
Jill," Oh my gosh, that was so lame. Like a pajmena could be a rug!"
Ross," Oh yeah, how about you and the, (mimics her fake cry) ""I’m"
Jill, (hits him) Shut up! I did not sound like that at all!
Phoebe," What about, what about when I said y’know about the apartment"
Jill, Were you this cute in high school?
Ross, Oh stop.
Jill, No you stop!
Ross," No, you stop!"
Jill, You stop!
Phoebe," (gets up and sits between them) Okay-okay, why don’t I sit here and"
[Scene," Monica and Chandler's, Monica is still very sick and is entering the living"
Monica," Okay, so what do you, what do you want to do? Let’s do something"
Chandler," I know, let’s rest and drink lots of fluids. (Holds up a glass of"
Monica," Okay, I’ll rest. But y’know if I’m going to bed, then"
Chandler, That would be impossible to resist if you weren’t all drippy
Monica, (wiping her nose) Are you saying that you don’t wanna get with
Chandler," Yeah, I don’t you should say that even when you’re healthy."
Monica, (in a sexy voice) Come on. (Coughs loudly.)
Chandler, Don’t take this personally okay? It’s just that I just
Monica, I’m with you Chandler! I mean I can’t have sex with a sick
Chandler," That’s the thing, see I would like to stay in the pribe of"
[Scene," Phoebe and Rachel's, Rachel is putting away her new clothes as Phoebe enters.]"
Rachel, Hey!
Phoebe, Hey.
Rachel, What’s up?!
Phoebe," Umm, I think there’s something you should maybe know."
Rachel," Well, it’d better not be about the apartment pants, because I just"
Phoebe," No. No. It’s just I was umm, I was with Ross and Jill after you"
Rachel, What?!
Phoebe," Yeah I mean it’s probably nothing, but I just wanted to warn you"
Rachel, With Ross and Jill?
Phoebe, Yeah!
Rachel, With Ross and my sister?
Phoebe, Yeah.
Rachel, With my sister Jill and my ex-boyfriend Ross?
Phoebe, Yeah.
Rachel, Oh there is no way.
Phoebe, Okay then.
Rachel, Oh my God! I can not believe that! I mean I don’t really like it
Phoebe," But great news about the apartment pants, huh?"
[Scene," Central Perk, Joey is giving the bill to the same beautiful woman from before.]"
Joey, That’ll be $3.85.
Woman, What do you mean? Yesterday you said I was too pretty to pay for stuff!
Joey, It’s just I can’t because my manager said I… (Gets an idea)
Woman, Amy!
Joey," (still singing) ""…Amy! Happy birthday to you!"""
A Male Customer," Hey, that’s weird, today’s my birthday too!"
Joey," Yeah, not it here it isn’t."
Jill," (entering) Sorry I’m late, what’s up?"
Rachel," (on the couch) Oh hi! Y’know, I just wanted to see if there were"
Jill, Oh no! But I just walked past three sales and I didn’t go in. How
Rachel," That is great. Hey, y’know who doesn’t have to job hunt? Ross."
Jill, Yeah.
Rachel," Oh so you know that, you guys talked about that, so you get along, so"
Jill, Me go out with Ross?! No! God no! What would make you think that?
Rachel," I just, Phoebe, said y’know thought she saw something between you"
Jill, No! I mean he’s nice.
Rachel, Yeah.
Jill," He’s the kind of guy you’re friends with, y’know? But"
Rachel," Oh not-not so much. Umm, what-what do you, what do you mean is there"
Jill," Oh no-no-no, he’s just I don’t know, he’s just a little"
Rachel, Are-are you saying he’s a geek?
Jill, You think so too?
Rachel," No! No I, no Ross is not a geek!"
Jill," Fine, then let’s just say he’s not my type."
Rachel, What handsome is not your type? Smart? Kind? Good kisser? What those
Jill," Well okay, if it means that much to you, then I’ll ask him out."
Rachel," Oh no-no-no, no-no-no, that’s not what I meant."
Jill," No! Y’know what Rachel? You’re right, y’know he has been"
Rachel," Yeah but, he’s not your type."
Jill, Yeah but maybe that’s a good thing. Y’know I’m doing all
Rachel," Yeah but, you don’t, you don’t, you don’t want to try to"
Jill, What?
Rachel, She-she died Jill.
[Scene," Monica and Chandler's, Chandler has fallen asleep reading a book. Monica calls"
Monica, (still sick) Chandler!
Chandler," Oh what is it honey, you need some tea? Some soup? (He gets up from"
Monica," (trying to be seductive) Calling Dr. Big, Dr. Big to the bed."
Chandler," Oh Jeez honey, I thought, I thought you were asleep."
Monica, How could I be asleep knowing that you were in the next room.
Chandler, I was asleep. (She takes off her robe and starts to shiver) Oh no!
Monica," Come on, get into bed! I want to prove to you that I’m not sick! I"
Chandler, Would you please get some rest!
Monica," I’m fine. (She goes into one of those half sneezing, half-coughing"
[Scene," Central Perk, Joey is singing Happy Birthday to yet another good-looking woman."
Joey," (singing) ""Happy birthday to you!"""
Gunther, You’re paying for that.
Joey, What? No-no it’s her birthday!
Gunther, You’ve sung Happy Birthday to 20 different women today!
Joey, But it really…
Gunther, You are no longer authorized to distribute birthday muffins.
Joey, Damnit! (Storms off.)
Ross, (entering) Rach? Hi!
Rachel, Hi!
Ross, Did you tell your sister to ask me out?
Rachel, Well yeah…
Ross," Oh wow! I mean, wow! I mean, I-I-I think she’s cute but I-I would"
Rachel, Really?!
Ross," Yeah but after you said it was okay, I figured, ""Why not?!"""
Rachel, Oh so-so not really never.
Ross, I have to say you are a much bigger person than I am. I mean after all
Joey," (overhearing them) Oh-ho, and mine!"
[Scene," Monica and Chandler's, Monica is still sick and is hobbling out into the living"
Monica," (entering) Chandler, I think I’m sick."
Chandler, Really? Struck down in the pribe of libe!
Monica," Okay, fine I admit it! I feel terrible! Would you please rub this on my"
Chandler," No-no-no-no-no-no-no, you are not getting me this way."
Monica, Come on! I really need your help!
Chandler, No-no-no-no-no!
Monica," Fine, I’ll rub it on myself."
Chandler, Okay.
Chandler," So you’re just, kinda rubbing it on yourself?"
Monica, Yeah?
Chandler, It’s nice.
Monica, Are you kidding me?! Is this; is this turning you on?
Chandler, Yes! (Hangs his head in shame.)
Monica, I can’t believe it! What is it? Is it the rubbing or the smell?
Chandler," It’s all very, very good. (She covers up and sits down.) So you"
Monica," Not now, I’m sick!"
Chandler, Oh come on you big faker!
Monica, What happened to your rule about never sleeping with sick people?
Chandler, Well that was before all the vaporizing action.
Monica," Okay, if you really wanna have sex…"
Chandler, Okay! (Runs into the bedroom.)
Monica, Worked like a charm.
[Scene," Central Perk, Rachel is there as Jill enters to start her date with Ross.]"
Jill, (entering) Hi!
Rachel, Hi! Wh-what are you doing here?
Jill," This is where Ross and I are meeting for our date. So, what do you think?"
Rachel," Well, I-I don’t like it."
Jill, Really?!
Rachel, It’s kinda slutty.
Jill, It’s yours!
Rachel," Yeah well, I’m-I’m a slut."
Jill, (laughs) Me too.
Ross, (entering) Hi Jill!
Jill, Hey!
Ross, Hi (sees Rachel and forgets her name for a moment).
Rachel, Rachel.
Ross," Rachel! Well, you-you’re not at home,"
Rachel," Yeah I know, and I bet you thought it would be weird. But it’s not!"
Ross," Okay. So well I’ll umm, (To Rachel) I’ll have her home by"
[Scene," Monica and Chandler's, Rachel enters and walks quickly over to the window to"
Rachel, Why aren’t you home yet?!
Monica, (calling from the bathroom) Is someone there?
Rachel," Oh yes, it’s me! Sorry!"
Chandler, (calling from the bathroom) What are you doing here?
Rachel," Uh, I’m just, I’m just looking out your window. At-at the"
Chandler, We got some Vap-O-Rub in some places.
Rachel," (gasps) Oh, he brought her back to his apartment."
Monica, (entering with Chandler) Who? (She looks out the window at Ross’s
Rachel," Ugh, she is a slut!"
Monica," God, Ross is on a date with your sister! How weird is that?!"
Rachel," Oh my God, look-look he’s taking off her clothes!"
Chandler, He’s taking off her coat!
Rachel," Oh, this is just terrible. "
Monica," Oh no it’s not, no it’s not. It’s a first date. I’m sure"
Rachel, Oh. (Squeaks again.)
Chandler," Ho-oh, he’s gonna get some! (Rachel looks at him.) Of the glare"
Written by, Andrew Reich & Ted Cohen
Transcribed by, Eric Aasen
[Scene," Monica and Chandler's, Rachel is still looking out the window as Joey enters.]"
Joey," (sees Rachel) Oh, uh, hey Rach. I uh, I was just coming over here to"
Rachel, Ross is on a date with my sister and they shut the drapes two and
Joey," Whoa, I didn’t know we could date your sister!"
Monica, Joey we know you steal our food.
Chandler, I’m good.
Monica," (To Rachel) Oh, are the drapes still closed hon?"
Rachel, Yeah. And y’know who should’ve shut their drapes? Is that
Chandler, (looking) Is that a swing?
Rachel, Oh don’t even ask!
Chandler, Yuck!
Joey, I can’t believe Ross went out with Rachel’s sister! When
Chandler, That was like 5 years ago.
Joey, Yeah you got 5 years left!
Chandler, Joey…
Joey, You wanna make it 6?!
[Scene," Central Perk, Ross is on the couch reading as Rachel enters. It’s the next"
Rachel," Oh Ross, hi! Hey, how are ya? There you are!"
Ross, Hey!
Rachel, (to Gunther) I’ll take a coffee. (To Ross) So how was your big date
Ross," Uhh, it was okay. Yeah, it was fun."
Rachel," Yeah fun? Great! So uh, so did you guys hit it off?"
Ross, I guess so.
Rachel," So uh, so did anything happen? Because rumor has it you guys shut"
Ross," No. No. Nothing happened. I shut the drapes to uh, show her slides of my"
Rachel," Oh, slides. (Laughs.) So really nothing happened."
Ross, Something could’ve happened. All right? She-she really dug my slides.
Rachel," Right. Was it the, ""Please don’t show me another picture of a"
Ross," Anyway, if she, if she wasn’t in to me, why-why would she ask me out"
Rachel, She asked-asked you out again?
Ross," Yeah-uh-huh. Tomorrow night, Valentine’s Day, the most romantic day"
Rachel, Okay-okay-okay-okay-okay-okay-okay! I got it! I got it! I got it! I
Ross, (while Rachel is finishing her rant) Okay! Okay! Okay! It’s okay.
Rachel, Thank you. I…yeah.
Ross, I mean after tomorrow night.
Rachel," No-no-no! No-no-no! Please Ross, I can’t! I can’t do it!"
Ross, Okay! Okay! Ooh-hey-hey-hey! Okay! Okay! Okay! I’ll-I’ll tell
Rachel, Ross thanks.
Ross, You want me to call her right now?
Rachel," Oh no! No! No-no-no-no! No, I mean come on that’s-that’s"
Ross," Well umm, oh! I might be teaching another class this semester!"
Rachel," Yeah do it now, call right now."
[Scene," Monica and Chandler's, Chandler, Monica, Phoebe, and Joey are watching ET.]"
Monica, (crying) This is my favorite part.
Phoebe, (crying) Yeah me too.
Phoebe, Oh y’know what’s sadder than this? Bambi. I cried for
Chandler," (totally not crying) Well see now that I can see crying over, but Bambi"
Joey, (crying) You didn’t cry when Bambi’s mother died?
Chandler, Yes it was very sad when the guy stopped drawing the deer!
Monica, Chandler there’s nothing wrong with crying! I mean you don’t
Chandler, I’m not macho.
Monica, Yeah you’re right. I don’t know what I was thinking.
Chandler," No, I guess I just never really cried. Y’know? I’m not a"
Joey, Come on man there’s gotta be something that gets you choked up! Like
Chandler," I’d be sad sure, but I wouldn’t cry."
Joey," Okay, what if the puppy said, ""Help me Chandler. All the other"
Chandler," Cry?! I just found a talking puppy, I’m rich!"
Monica," Oh, I’ve got it! I have got it! (Gets up and gets something from"
Phoebe," All right, what’s going on there? (Points to a picture.)"
Chandler," Oh, that’s Parent’s Day, first grade. That’s me with"
Monica, Where were your parents?
Chandler, Oh they didn’t want to come!
Phoebe, Oh Chandler!
Monica, Poor thing!
Phoebe, So that story doesn’t make you cry?
Chandler," No! Look, I don’t cry! It’s not a big deal! Okay?!"
Joey, No! It’s not okay! It’s not okay at all!! You’re dead
[Scene," Central Perk, Phoebe is putting away her guitar as a man approaches.]"
The Fan, Excuse me.
Phoebe, Yeah?
The Fan, Are you Phoebe Buffay?
Phoebe, Yeah.
The Fan," Can-can I get your autograph, I’m your biggest fan. (Holds out a"
Phoebe, Oh you’re my biggest fan? I’ve always wanted to meet you! Hi!
The Fan," Wow! Wow, thanks a lot! I just wanna say, I think you’re really"
Phoebe, You’re just saying that because you’re my biggest fan. (The
Joey," (to the fan) So, you saw me on Days Of Our Lives huh? Want me to,"
The Fan," I have no idea what you’re talking about. But I, but I just got"
